,uid,info,stars,categ,bt_coin,bt_days,bt_l_adg,bt_s_adg,long,l_AU,l_gspan,l_TP,short,s_AU,s_gspan,s_TP
238,8c2c2,/flyingtoaster/1m/test_phase/tight_01_auenabled/SANDUSDT_20220817060640_760a3,5.0,flyingtoaster,SANDUSDT,554,0.404,0.252,True,True,14.0,0.3% /0.09%/,True,True,14.0,0.3% /0.16%/
171,7d6d3,/flyingtoaster/1m/audisabled/1.4/DYDXUSDT_20220721074803_ad155,4.0,flyingtoaster,DYDXUSDT,303,0.4,0.799,True,False,13.0,0.2% /0.15%/,True,False,18.0,0.72% /1.88%/
113,e74c8,/flyingtoaster/1m/5.7.0/SANDUSDT_20220713182404_b9c8f,6.0,flyingtoaster,SANDUSDT,531,0.399,0.274,True,False,39.0,0.2% /2.77%/,True,False,36.0,0.95% /1.98%/
203,60569,/flyingtoaster/1m/test_phase/0.1.3_widegrid_auenabled_longshort/SOLUSDT_20220808181521_1a897,6.0,flyingtoaster,SOLUSDT,687,0.398,0.14,True,True,20.0,0.3% /0.18%/,True,True,53.0,0.3% /0.19%/
221,7add2,/flyingtoaster/1m/test_phase/0.1.5_scalper_auenabled/ADAUSDT_20220810060826_615ed,6.0,flyingtoaster,ADAUSDT,914,0.395,0.0678,True,True,10.0,0.3% /0.15%/,True,True,49.0,0.2% /0.28%/
450,ec845,/flyingtoaster/1s/0.1.4_40%grid_1sdata_auenabled_longshort/GMTUSDT_20220825174433_b9737,6.0,flyingtoaster,GMTUSDT,149,0.395,0.223,True,True,40.0,0.2% /0.26%/,True,True,45.0,0.2% /0.3%/
98,593c6,/flyingtoaster/1m/5.7.0/ENJUSDT_20220713182404_b9c8f,6.0,flyingtoaster,ENJUSDT,649,0.394,0.273,True,False,34.0,0.2% /2.83%/,True,False,27.0,0.82% /1.41%/
160,affd9,/flyingtoaster/1m/audisabled/1.6/SANDUSDT_20220725095314_dfd6e,6.0,flyingtoaster,SANDUSDT,544,0.393,0.244,True,False,32.0,0.24% /0.2%/,True,False,34.0,0.21% /2.64%/
265,46b65,/flyingtoaster/1m/test_phase/0.2_mediumrisk/HNTUSDT_20220814082811_1a832,6.0,flyingtoaster,HNTUSDT,673,0.391,0.14,True,True,25.0,0.3% /0.19%/,True,True,39.0,0.28% /0.01%/
57,5b1f4,/flyingtoaster/1m/mdcl_hardcore_scalp/ETCUSDT_20220818203915_b4260,5.0,flyingtoaster,ETCUSDT,929,0.388,0.244,True,True,11.0,0.3% /0.19%/,True,True,13.0,0.3% /0.03%/
241,6cb01,/flyingtoaster/1m/test_phase/tight_01_auenabled/ENJUSDT_20220817060640_760a3,5.0,flyingtoaster,ENJUSDT,672,0.385,0.221,True,True,13.0,0.3% /0.12%/,True,True,18.0,0.3% /0.06%/
